,text,Date,is_retweet
41,So how and why are they so sure about hacking if they never even requested an examination of the computer servers? What is going on?,20170601,FALSE
42,The dishonest media does not report that any money spent on building the Great Wall (for sake of speed) will be paid back by Mexico later!,20170601,FALSE
43,Hillary and the Dems were never going to beat the PASSION of my voters. They saw what was happening in the last two weeks before the......,20170601,FALSE
44,and knew they were in big trouble - which is why they cancelled their big fireworks at the last minute.THEY SAW A MOVEMENT LIKE NEVER BEFORE,20170601,FALSE
45,Hopefully all supporters and those who want to MAKE AMERICA GREAT AGAIN will go to D.C. on January 20th. It will be a GREAT SHOW!,20170601,FALSE
46,"Wow the ratings are in and Arnold Schwarzenegger got ""swamped"" (or destroyed) by comparison to the ratings machine DJT. So much for....",20170601,FALSE
49,I am asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.,20170601,FALSE
50,Monitoring the terrible situation in Florida. Just spoke to Governor Scott. Thoughts and prayers for all. Stay safe!,20170601,FALSE
51,Happy Birthday @EricTrump!https://t.co/bJaEY7qFSn,20170701,FALSE
52,Gross negligence by the Democratic National Committee allowed hacking to take place.The Republican National Committee had strong defense!,20170701,FALSE
53,Intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. Voting machines not touched!,20170701,FALSE
54,Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,20170701,FALSE
55,"Having a good relationship with Russia is a good thing not a bad thing. Only ""stupid"" people or fools would think that it is bad! We.....",20170701,FALSE
56,have enough problems around the world without yet another one. When I am President Russia will respect us far more than they do now and....,20170701,FALSE
57,both countries will perhaps work together to solve some of the many great and pressing problems and issues of the WORLD!,20170701,FALSE
59,I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain a longtime U.S. ally is very special!,20170801,FALSE
60,@KellyannePolls: Welcome to President and Mrs. Bush.  https://t.co/I1K4nj1gVu Very nice!,20170801,FALSE
61,"@FoxNews: We certainly don’t want intelligence interfering with politics and we don’t want politics interfe… https://t.co/bwDjEg1d7S""",20170801,FALSE
62,Kellyanne Conway went to @MeetThePress this morning for an interview with @chucktodd. Dishonest media cut out 9 of her 10 minutes. Terrible!,20170801,FALSE
63,"RT @MeetThePress: Watch our interview with @KellyannePolls: Russia ""did not succeed"" in attempts to sway election https://t.co/EZhgUIUbYx #…",20170801,TRUE
64,Before I or anyone saw the classified and/or highly confidential hacking intelligence report it was leaked out to @NBCNews. So serious!,20170801,FALSE
65,Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,20170901,FALSE
66,Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!,20170901,FALSE
67,Meryl Streep one of the most over-rated actresses in Hollywood doesn't know me but attacked last night at the Golden Globes. She is a.....,20170901,FALSE
68,"Hillary flunky who lost big. For the 100th time I never ""mocked"" a disabled reporter (would never do that) but simply showed him.......",20170901,FALSE
69,groveling when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!,20170901,FALSE
70,It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants adding 2000 jobs. This after...,20170901,FALSE
72,An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf,20170901,FALSE
74,U.S. Small-Business Optimism Index Surges by Most Since 1980'https://t.co/X22x1BttdG,20171001,FALSE
75,Small business optimism soars after Trump election' https://t.co/WjBaTp824U,20171001,FALSE
76,Trump Helps Lift Small Business Confidence to 12-Yr. High'https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx,20171001,FALSE
77,FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!,20171101,FALSE
78,RT @MichaelCohen212: I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D,20171101,TRUE
79,BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews https://t.co/d6daCFZHNh,20171101,FALSE
80,"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION UTTER NONSENSE."" Very unfair!",20171101,FALSE
81,Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS NO LOANS NO NOTHING!,20171101,FALSE
82,"I win an election easily a great ""movement"" is verified and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",20171101,FALSE
83,"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",20171101,FALSE
84,We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,20171201,FALSE
85,@zhu_amy3: @realDonaldTrump It's Morning in America again!!!  ☀️☀️☀️Thank you President-Elect Donald Trump!!! So proud of you!!!! THANKS!,20171201,FALSE
86,James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up phony facts.Too bad!,20171201,FALSE
87,Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine,20171201,FALSE
88,.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,20171201,FALSE
89,Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!,20171201,FALSE
90,All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts not mine!,20171301,FALSE
91,It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued....,20171301,FALSE
92,Totally made up facts by sleazebag political operatives both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably...,20171301,FALSE
93,"released by ""Intelligence"" even knowing there is no proof and never will be. My people will have a full report on hacking within 90 days!",20171301,FALSE
94,What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never.....,20171301,FALSE
95,have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,20171301,FALSE
96,"The ""Unaffordable"" Care Act will soon be history!",20171301,FALSE
97,A beautiful funeral today for a real NYC hero Detective Steven McDonald. Our law enforcement community has my complete and total support.,20171301,FALSE
98,Congressman John Lewis should spend more time on fixing and helping his district which is in horrible shape and falling apart (not to......,20171401,FALSE
99,mention crime infested) rather than falsely complaining about the election results. All talk talk talk - no action or results. Sad!,20171401,FALSE
100,"INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN",20171401,FALSE
101,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,20171501,FALSE
102,Inauguration Day is turning out to be even bigger than expected. January 20th Washington D.C. Have fun!,20171501,FALSE
103,The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation that number..,20171501,FALSE
104,will only get higher. Car companies and others if they want to do business in our country have to start making things here again. WIN!,20171501,FALSE
105,For many years our country has been divided angry and untrusting. Many say it will never change the hatred is too deep. IT WILL CHANGE!!!!,20171501,FALSE
106,"Thank you to Bob Woodward who said ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...",20171501,FALSE
107,"about that...Those Intelligence chiefs made a mistake here &amp; when people make mistakes they should APOLOGIZE."" Media should also apologize",20171501,FALSE
108,.@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny cast is terrible always a complete hit job. Really bad television!,20171501,FALSE
109,".@FoxNews ""Outgoing CIA Chief John Brennan blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really couldn't do...",20171601,FALSE
110,much worse - just look at Syria (red line) Crimea Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?,20171601,FALSE
111,Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!,20171601,FALSE
112,@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency. Very dishonest media!,20171701,FALSE
113,At 9:00 P.M. @CNN of all places is doing a Special Report on my daughter Ivanka. Considering it is CNN can't imagine it will be great!,20171701,FALSE
114,@drgoodspine: @realDonaldTrump @Ivanka Trump is great a woman with real character and class.,20171701,FALSE
115,People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday Friday and Saturday!,20171701,FALSE
116,The same people who did the phony election polls and were so wrong are now doing approval rating polls. They are rigged just like before.,20171701,FALSE
117,With all of the jobs I am bringing back into the U.S. (even before taking office) with all of the new auto plants coming back into our.....,20171701,FALSE
118,"country and with the massive cost reductions I have negotiated on military purchases and more I believe the people are seeing ""big stuff.""",20171701,FALSE
119,"John Lewis said about my inauguration ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he...",20171701,FALSE
120,thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president. Sound familiar! WP,20171701,FALSE
121,How Trump Won--And How The Media Missed It https://t.co/Hfab41h65X,20171701,FALSE
122,Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!,20171701,FALSE
123,RT @MoskowitzEva: .@BetsyDeVos has the talent commitment and leadership capacity to revitalize our public schools and deliver the promise…,20171701,TRUE
124,"RT @EricTrump: Thank you to @GolfDigest for this incredible feature! ""Golfer-in-Chief"" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c…",20171701,TRUE
125,Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,20171801,FALSE
127,to the U.S. but had nothing to do with TRUMP is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!,20171801,FALSE
128,Bayer AG has pledged to add U.S. jobs and investments after meeting with President-elect Donald Trump the latest in a string... @WSJ,20171801,FALSE
129,No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,20171801,FALSE
130,.@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,20171801,FALSE
131,Writing my inaugural address at the Winter White House Mar-a-Lago three weeks ago. Looking forward to Friday.… https://t.co/J0ojOXjrga,20171801,FALSE
132,Looking forward to a speedy recovery for George and Barbara Bush both hospitalized. Thank you for your wonderful letter!,20171801,FALSE
133,Great seeing @TheLeeGreenwood  and Kimberly at this evenings VP dinner! #GodBlessTheUSA https://t.co/SxVmaWvOFT,20171901,FALSE
134,Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C.… https://t.co/Qj5cpfaykD,20171901,FALSE
135,It wasn't Donald Trump that divided this country this country has been divided for a long time! Stated today by Reverend Franklin Graham.,20171901,FALSE
136,Getting ready to leave for Washington D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..,20171901,FALSE
137,the American people. I have no doubt that we will together MAKE AMERICA GREAT AGAIN!,20171901,FALSE
138,On my way! #Inauguration2017 https://t.co/hOuMbxGnpe,20171901,FALSE
139,Great Concert at 4:00 P.M. today at Lincoln Memorial. Enjoy!,20171901,FALSE
140,Join me at 4pm over at the Lincoln Memorial with my family!#Inauguration2017 https://t.co/GQeQpJOgWz,20171901,FALSE
141,Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together we are going to MAKE AM… https://t.co/OSxa3BamHs,20172001,FALSE
142,Thank you for a wonderful evening in Washington D.C. #Inauguration https://t.co/a6xpFQTHj5,20172001,FALSE
143,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,20172001,FALSE
144,Today we are not merely transferring power from one Administration to another or from one party to another – but we are transferring...,20172001,FALSE
145,power from Washington D.C. and giving it back to you the American People. #InaugurationDay,20172001,FALSE
146,What truly matters is not which party controls our government but whether our government is controlled by the people.,20172001,FALSE
147,January 20th 2017 will be remembered as the day the people became the rulers of this nation again.,20172001,FALSE
148,The forgotten men and women of our country will be forgotten no longer. From this moment on it’s going to be #AmericaFirst🇺🇸,20172001,FALSE
149,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,20172001,FALSE
151,It is time to remember that...https://t.co/ZKyOiOor62,20172001,FALSE
152,So to all Americans in every city near and far small and large from mountain to mountain...https://t.co/cZKkrGXLSi,20172001,FALSE
153,TO ALL AMERICANS🇺🇸https://t.co/D7Es6ie4fY,20172001,FALSE
154,THANK YOU for another wonderful evening in Washington D.C. TOGETHER we will MAKE AMERICA GREAT AGAIN🇺🇸 https://t.co/V3aoj9RUh4,20172101,FALSE
155,A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!,20172101,FALSE
156,"RT @WhiteHouse: ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""…",20172101,TRUE
157,Had a great meeting at CIA Headquarters yesterday packed house paid great respect to Wall long standing ovations amazing people. WIN!,20172201,FALSE
158,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,20172201,FALSE
159,Wow television ratings just out: 31 million people watched the Inauguration 11 million more than the very good ratings from 4 years ago!,20172201,FALSE
160,Peaceful protests are a hallmark of our democracy. Even if I don't always agree I recognize the rights of people to express their views.,20172201,FALSE
161,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,20172301,FALSE
162,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,20172401,FALSE
163,A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! https://t.co/Uzp0ivvRp0,20172401,FALSE
164,Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together we will #MAGA! https://t.co/OXdiLOkGsZ,20172401,FALSE
165,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Off… https://t.co/aOxmfO0vOK,20172401,FALSE
166,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. https://t.co/T0eIgO6LP8,20172501,FALSE
167,Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,20172501,FALSE
168,"If Chicago doesn't fix the horrible ""carnage"" going on 228 shootings in 2017 with 42 killings (up 24% from 2016) I will send in the Feds!",20172501,FALSE
169,Big day planned on NATIONAL SECURITY tomorrow. Among many other things we will build the wall!,20172501,FALSE
170,I will be asking for a major investigation into VOTER FRAUD including those registered to vote in two states those who are illegal and....,20172501,FALSE
171,even those registered to vote who are dead (and many for a long time). Depending on results we will strengthen up voting procedures!,20172501,FALSE
172,I will be making my Supreme Court pick on Thursday of next week.Thank you!,20172501,FALSE
173,I will be interviewed by @DavidMuir tonight at 10 o'clock on @ABC. Will be my first interview from the White House.… https://t.co/4zuOrRdcoc,20172501,FALSE
174,Beginning today the United States of America gets back control of its borders. Full speech from today @DHSgov:… https://t.co/8aDaHsAhg9,20172601,FALSE
175,As your President I have no higher duty than to protect the lives of the American people. https://t.co/o7YNUNwb8f,20172601,FALSE
176,@romoabcnews: .@DavidMuir first @POTUS interview since taking office.  Tonight on @ABCWorldNews @ABC2020 tonight. https://t.co/I4Vz1mRdBK,20172601,FALSE
177,Interview with David Muir of @ABC News in 10 minutes. Enjoy!,20172601,FALSE
178,Ungrateful TRAITOR Chelsea Manning who should never have been released from prison is now calling President Obama a weak leader. Terrible!,20172601,FALSE
179,The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers...,20172601,FALSE
180,of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall then it would be better to cancel the upcoming meeting.,20172601,FALSE
181,Spoke at the Congressional @GOP Retreat in Philadelphia PA. this afternoon w/ @VP @SenMajLeader @SpeakerRyan. Th… https://t.co/s4sTbSyBSR,20172601,FALSE
182,Spoke at the Congressional @GOP Retreat in Philadelphia PA. this afternoon w/ @VP @SenateMajLdr @SpeakerRyan. Th… https://t.co/ALSADGrwoe,20172601,FALSE
183,Will be interviewed by @SeanHannity on @FoxNews at 10:00pm tonight. Enjoy!,20172601,FALSE
184,Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! https://t.co/MtPvaDC4jM,20172601,FALSE
185,Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3000000 votes were illegal. We must do better!,20172701,FALSE
187,The #MarchForLife is so important. To all of you marching --- you have my full support!,20172701,FALSE
188,.@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! https://t.co/1jb53SEGV4,20172701,FALSE
189,Statement on International Holocaust Remembrance Day: https://t.co/KjU0MOxCHk,20172701,FALSE
190,Congratulations Secretary Mattis! https://t.co/mkuhbegzqS,20172701,FALSE
191,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! https://t.co/D0aOWhOH4X,20172701,FALSE
192,The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries then the general election. FAKE NEWS!,20172801,FALSE
193,Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....,20172801,FALSE
194,...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course and never will. DISHONEST,20172801,FALSE
195,Today we remember the crew of the Space Shuttle Challenger 31 years later. #NeverForget https://t.co/OhshQsFRfl,20172801,FALSE
196,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,20172801,FALSE
197,Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!,20172901,FALSE
198,Our country needs strong borders and extreme vetting NOW. Look what is happening all over Europe and indeed the world - a horrible mess!,20172901,FALSE
199,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,20172901,FALSE
201,...Senators should focus their energies on ISIS illegal immigration and border security instead of always looking to start World War III.,20172901,FALSE
202,Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul,20172901,FALSE
203,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!,20172901,FALSE
204,Only 109 people out of 325000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage.....,20173001,FALSE
205,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,20173001,FALSE
206,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,20173001,FALSE
207,"If the ban were announced with a one week notice the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",20173001,FALSE
208,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),20173001,FALSE
209,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,20173001,FALSE
210,The American dream is back. We’re going to create an environment for small business like we haven’t had in many ma… https://t.co/Bh7SrNEgz1,20173001,FALSE
211,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,20173101,FALSE
212,Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,20173101,FALSE
213,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,20173101,FALSE
214,Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.,20170102,FALSE
215,Join me live from the @WhiteHouse.https://t.co/LHOs4nAaGl,20170102,FALSE
216,Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man respected by all.,20170102,FALSE
217,Everybody is arguing whether or not it is a BAN. Call it what you want it is about keeping bad people (with bad intentions) out of country!,20170102,FALSE
218,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,20170202,FALSE
219,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,20170202,FALSE
220,If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,20170202,FALSE
221,Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,20170202,FALSE
222,Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,20170202,FALSE
223,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,20170202,FALSE
224,Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,20170202,FALSE
225,Thank you @Samsung! We would love to have you! https://t.co/r5nxC9oOA4,20170202,FALSE
226,Yes Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!,20170302,FALSE
227,"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",20170302,FALSE
228,Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,20170302,FALSE
229,Meeting with biggest business leaders this morning. Good jobs are coming back to U.S. health care and tax bills are being crafted NOW!,20170302,FALSE
230,Professional anarchists thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!,20170302,FALSE
231,A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,20170302,FALSE
232,"We must keep ""evil"" out of our country!",20170302,FALSE
233,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,20170402,FALSE
236,The opinion of this so-called judge which essentially takes law-enforcement away from our country is ridiculous and will be overturned!,20170402,FALSE
237,After being forced to apologize for its bad and inaccurate coverage of me after winning the election the FAKE NEWS @nytimes is still lost!,20170402,FALSE
238,MAKE AMERICA GREAT AGAIN!,20170402,FALSE
239,What is our country coming to when a judge can halt a Homeland Security travel ban and anyone even with bad intentions can come into U.S.?,20170402,FALSE
240,Because the ban was lifted by a judge many very bad and dangerous people may be pouring into our country. A terrible decision,20170402,FALSE
241,Why aren't the lawyers looking at and using the Federal Court decision in Boston which is at conflict with ridiculous lift ban decision?,20170402,FALSE
242,Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!,20170502,FALSE
243,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,20170502,FALSE
244,Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,20170502,FALSE
245,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,20170502,FALSE
246,I will be interviewed by @oreillyfactor at 4:00 P.M. (prior to the #SuperBowl Pre-game Show) on Fox Network. Enjoy!,20170502,FALSE
247,Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,20170502,FALSE
248,What an amazing comeback and win by the Patriots. Tom Brady Bob Kraft and Coach B are total winners. Wow!,20170602,FALSE
249,Any negative polls are fake news just like the CNN ABC NBC polls in the election. Sorry people want border security and extreme vetting.,20170602,FALSE
250,I call my own shots largely based on an accumulation of data and everyone knows it. Some FAKE NEWS media in order to marginalize lies!,20170602,FALSE
251,Will be interviewed on @oreillyfactor tonight at 8:00 P.M.,20170602,FALSE
253,An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR,20170602,FALSE
254,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,20170702,FALSE
255,The threat from radical Islamic terrorism is very real just look at what is happening in Europe and the Middle-East. Courts must act fast!,20170702,FALSE
256,I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1in terror no problem!,20170702,FALSE
257,I don't know Putin have no deals in Russia and the haters are going crazy - yet Obama can make a deal with Iran #1 in terror no problem!,20170702,FALSE
259,It is a disgrace that my full Cabinet is still not in place the longest such delay in the history of our country. Obstruction by Democrats!,20170802,FALSE
